position,caller,owner,healthFactor,healthFactorRaw,isLiquidatable,status,error
0x4E0eddF55C6C189fCfc3c3A25eba7ec45fcc1aF3,0x02A250B4F8479ae742415307A23Bc9440e67F737,0x02A250B4F8479ae742415307A23Bc9440e67F737,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xAeA304117438fb717afb0CcC15478cbb78068091,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xF3B609fE9E1EEc73B64d11FD2c15b57Ffa6A0B22,0x2719e4c5F93224F02D7B0cA9F86894A98F49e21B,0x2719e4c5F93224F02D7B0cA9F86894A98F49e21B,1.402110,1402110472660959646,false,HEALTHY,""
0x38c42B3DCCea325eF416E2B152AA50d97110b511,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x269A0967488c065a72BEb3BAF461F5Ac742D05e8,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,0xD0229CcCeda1DD2BF8A6Da1AafFA21e212032e0f,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x63BFEb9C6E0D754018df3809aFf37823CBc63988,0x6dA34265bB16815F78C495C53aC6Db5B0aDA8920,0x6dA34265bB16815F78C495C53aC6Db5B0aDA8920,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x22DD462E945Bb2fD48ffFAFbbA67c7c52578f0e1,0x46A79cC20E4F2ae23060c61F52D46190ee58742E,0x46A79cC20E4F2ae23060c61F52D46190ee58742E,1.201493,1201493230363326264,false,HEALTHY,""
0x109895Cd178Be69f8dacc6E4327c2bB0D4b70310,0x19CFCB36Bba2E4aAB7747a0C5AbC96c7efdd025a,0x19CFCB36Bba2E4aAB7747a0C5AbC96c7efdd025a,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x6E47B94dB87939962F8E3d265499E577174EddC4,0x3A306B33a1Da8A0412983b8C4939F8a9cd568f40,0x3A306B33a1Da8A0412983b8C4939F8a9cd568f40,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xe19C9EF5C73C4cBcBae412292DfB812b0b003c5C,0x3A306B33a1Da8A0412983b8C4939F8a9cd568f40,0x3A306B33a1Da8A0412983b8C4939F8a9cd568f40,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xe1a2F603f2bDEA8229c925e467989793F719Fbd5,0xdFccD8203FF20B1b478BcBBB4b3B2E4d72AC1014,0xdFccD8203FF20B1b478BcBBB4b3B2E4d72AC1014,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x8686B381c4E742879ca0dbdFaA3177F540a99553,0x67f2D1E12bcd20f07e14F716BF5453E91CF42318,0x67f2D1E12bcd20f07e14F716BF5453E91CF42318,1.131845,1131845297901368695,false,HEALTHY,""
0x7db95fC4e0aF1904923d81b97cc7Cf6197f639B6,0x11855EAff01eb0a3FA3d976DF65948E2E3e40302,0x11855EAff01eb0a3FA3d976DF65948E2E3e40302,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x3aed4e9D812a72E75FE856f31F9bb92a55b1C9ba,0x8C3b2e548ae5646B9e5aF62BfA2712964697f8e9,0x8C3b2e548ae5646B9e5aF62BfA2712964697f8e9,1.000291,1000291419270840773,false,HEALTHY,""
0x1550C13CDad1649Bd98fda1FC81649Bb8782D332,0x30ee1f53c0e9489fDeB7047d005684D641bAfb37,0x30ee1f53c0e9489fDeB7047d005684D641bAfb37,1.199590,1199589581024871512,false,HEALTHY,""
0xFA9d25BC7dD9b2374b83Bfa3ff68c8b452555762,0xEf3cB3Fa5d57828A8235D1398cA543dE4Bdd5251,0xEf3cB3Fa5d57828A8235D1398cA543dE4Bdd5251,1.414948,1414947511310126338,false,HEALTHY,""
0x58675b518728617edab9194e33BF5b78B36E36FF,0xe15485BAB481F0e6d2Fb2D8A1D63dD5A8F53f092,0xe15485BAB481F0e6d2Fb2D8A1D63dD5A8F53f092,1.058460,1058460040906187005,false,HEALTHY,""
0xC052ddD48c1B69FC51c0c1527136Cd75DBFE7877,0x49bE568D082Fb7b869B7fB4F92FA3DAa39c2f21B,0x49bE568D082Fb7b869B7fB4F92FA3DAa39c2f21B,1.080770,1080770260216068038,false,HEALTHY,""
0x9d8aF1E82762AFa20056059233582F0Aabf89d7B,0x90aBCf1598ed3077861bCFb3B11EFcd1D7277223,0x90aBCf1598ed3077861bCFb3B11EFcd1D7277223,1.058460,1058459554042558053,false,HEALTHY,""
0x74188Ffc78C0Ad4c8E683F3022ef495D332f3E00,0x16F368BFAa9308a4B1728F5356001f58B914cAAb,0x16F368BFAa9308a4B1728F5356001f58B914cAAb,1.058460,1058459568788455847,false,HEALTHY,""
0xCf7C6C6Ec66e80FC9A403217c4071e2533B7e32B,0x76dC66f1F2265A555a65358cd2cdD5ec5e60ab63,0x76dC66f1F2265A555a65358cd2cdD5ec5e60ab63,1.032837,1032837044223288864,false,HEALTHY,""
0x444De6dd18cCf4dE03DA2b699f80713027c232c6,0x90aBCf1598ed3077861bCFb3B11EFcd1D7277223,0x90aBCf1598ed3077861bCFb3B11EFcd1D7277223,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x5613342ae4ecd8777D0aF6BBC4b61d175Ee12243,0xecdCAe6a427E7ce7E6C293a127Fb893Bc1C4CCDe,0xecdCAe6a427E7ce7E6C293a127Fb893Bc1C4CCDe,1.799378,1799377810639372645,false,HEALTHY,""
0x1150318e48b078B586F4d351Be4806513f9BEffA,0x9c08Aa6E1900270e61D1eE5FdA4561885325C634,0x9c08Aa6E1900270e61D1eE5FdA4561885325C634,1.058457,1058457203994147449,false,HEALTHY,""
0x3ae464c52f9235FfDf0c8e5C0D5c0f3393cfE2b2,0x75974D55a92c6DA74ebfB349F9eF3dD2b565E052,0x75974D55a92c6DA74ebfB349F9eF3dD2b565E052,1.122057,1122057248154048884,false,HEALTHY,""
0xc9A2294C09e1F6f0953Ca0a3f5aF9a04E8C744D3,0xcc2CFfF9D225A2aC8c5bC3A40AB9675052753F8a,0xcc2CFfF9D225A2aC8c5bC3A40AB9675052753F8a,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x066Dc2fa44A0605EA7F52b61D16a02d8Bb0DbC3B,0x4a4037E53306f284cf214B733E9A54D6a5939818,0x4a4037E53306f284cf214B733E9A54D6a5939818,1.021728,1021728284448468585,false,HEALTHY,""
0x3316aA396B36E9aa81D6FF7893A862a7291d46F6,0x84196E3DDC96F302753573c406B4263a79AF713a,0x84196E3DDC96F302753573c406B4263a79AF713a,1.029031,1029031277707743359,false,HEALTHY,""
